,uniprot,gene-name
0,A0A023PXA5,YAL019W-A
1,A0A023PXB0,YAR019W-A
2,A0A023PXB5,IRC2
3,A0A023PXB9,YDR199W
4,A0A023PXC2,YEL053W-A
5,A0A023PXC7,YER068C-A
6,A0A023PXD3,YER088C-A
7,A0A023PXD5,YER147C-A
8,A0A023PXD9,YFL015W-A
9,A0A023PXE5,YHL006W-A
10,A0A023PXE8,YHR028W-A
11,A0A023PXF2,YHR071C-A
12,A0A023PXF5,YHR218W-A
13,A0A023PXF8,YIL066W-A
14,A0A023PXG3,YIL156W-A
15,A0A023PXG7,YLR230W
16,A0A023PXH2,YML031C-A
17,A0A023PXH4,YAL026C-A
18,A0A023PXH5,YBR126W-B
19,A0A023PXH6,YMR172C-A
20,A0A023PXH9,YDR149C
21,A0A023PXI0,YMR306C-A
22,A0A023PXI4,YDR203W
23,A0A023PXI5,YPR197C
24,A0A023PXI8,YER006C-A
25,A0A023PXJ3,YER076W-A
26,A0A023PXJ7,YER107W-A
27,A0A023PXK2,YER148W-A
28,A0A023PXK7,YFL021C-A
29,A0A023PXL1,YHL019W-A
30,A0A023PXL7,YHR056W-A
31,A0A023PXM2,YHR131W-A
32,A0A023PXM7,YIL020C-A
33,A0A023PXN3,YIL068W-A
34,A0A023PXN9,YIL171W-A
35,A0A023PXP4,YLR235C
36,A0A023PXP7,YML034C-A
37,A0A023PXQ4,YMR173W-A
38,A0A023PXQ9,YMR316C-B
39,A0A023PYC6,YAL016C-A
40,A0A023PYD0,YAL059C-A
41,A0A023PYD3,YDR094W
42,A0A023PYD7,YDR187C
43,A0A023PYD9,YEL018C-A
44,A0A023PYE4,YER067C-A
45,A0A023PYE9,YER087C-A
46,A0A023PYF4,YER145C-A
47,A0A023PYF7,YER172C-A
48,A0A023PYG1,YHL002C-A
49,A0A023PYG5,YHL046W-A
50,A0A023PYH0,YHR070C-A
51,A0A023PYH5,YHR193C-A
52,A0A023PYH8,YIL047C-A
53,A0A023PYI2,YIL142C-A
54,A0A023PYI5,YIR036W-A
55,A0A023PYJ0,YML009C-A
56,A0A023PYJ4,YMR153C-A
57,A0A023PYJ7,YMR304C-A
