AC	ID	Name	Type
PF03137	OATP	Organic Anion Transporter Polypeptide (OATP) family	F
PF13007	LZ_Tnp_IS66	Transposase C of IS166 homeodomain	F
PF01327	Pep_deformylase	Polypeptide deformylase	D
PF03130	HEAT_PBS	PBS lyase HEAT-like repeat	R
PF03647	Tmemb_14	Transmembrane proteins 14C	F
PF01280	Ribosomal_L19e	Ribosomal protein L19e	F
PF01281	Ribosomal_L9_N	Ribosomal protein L9, N-terminal domain	D
PF18095	PAS_12	UPF0242 C-terminal PAS-like domain	D
PF18094	DNA_pol_B_N	DNA polymerase beta N-terminal domain	D
PF01284	MARVEL	Membrane-associating domain	D
PF18092	DraK_HK_N	DraK Histidine Kinase N-terminal domain	D
PF18091	E3_UbLigase_RBR	E3 Ubiquitin Ligase RBR C-terminal domain	D
PF01287	eIF-5a	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	D
PF01288	HPPK	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)	D
PF01289	Thiol_cytolysin	Thiol-activated cytolysin	F
PF03133	TTL	Tubulin-tyrosine ligase family	F
PF18099	DUF5010_C	DUF5010 C-terminal domain	D
PF18098	RPN5_C	26S proteasome regulatory subunit RPN5 C-terminal domain	D
PF10664	NdhM	Cyanobacterial and plastid NDH-1 subunit M	F
PF10665	Minor_capsid_1	Minor capsid protein	F
PF14450	FtsA	Cell division protein FtsA	D
PF10667	DUF2486	Protein of unknown function (DUF2486)	F
PF10660	MitoNEET_N	Iron-containing outer mitochondrial membrane protein N-terminus	D
PF10661	EssA	WXG100 protein secretion system (Wss), protein EssA	F
PF10662	PduV-EutP	Ethanolamine utilisation - propanediol utilisation	D
PF09247	TBP-binding	TATA box-binding protein binding	D
PF10668	Phage_terminase	Phage terminase small subunit	D
PF09340	NuA4	Histone acetyltransferase subunit NuA4	F
PF16081	Phage_holin_7_1	Mycobacterial 2 TMS Phage Holin (M2 Hol) Family	F
PF14457	Prok-E2_A	Prokaryotic E2 family A	F
PF18506	RelB_N	RelB Antitoxin alpha helical domain	D
PF17410	Stevor	Subtelomeric Variable Open Reading frame	F
PF18321	3HCDH_RFF	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain	D
PF18320	Csc2	Csc2 Crispr	F
PF18323	CSN5_C	Cop9 signalosome subunit 5 C-terminal domain	D
PF18322	CLIP_1	Serine protease Clip domain PPAF-2	D
PF18325	Fas_alpha_ACP	Fatty acid synthase subunit alpha Acyl carrier domain	D
PF18324	TT1725	Hypothetical protein TT1725	D
PF15948	DUF4756	Domain of unknown function (DUF4756)	F
PF15949	DUF4757	Domain of unknown function (DUF4757)	F
PF15946	DUF4754	Domain of unknown function (DUF4754)	F
PF15947	DUF4755	Domain of unknown function (DUF4755)	F
PF15944	DUF4752	Domain of unknown function (DUF4752)	F
PF15942	DUF4751	Domain of unknown function (DUF4751)	F
PF15943	YdaS_antitoxin	Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT	F
PF10399	UCR_Fe-S_N	Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal	M
PF15941	FidL_like	FidL-like putative membrane protein	F
PF00733	Asn_synthase	Asparagine synthase	D
PF00732	GMC_oxred_N	GMC oxidoreductase	D
PF00887	ACBP	Acyl CoA binding protein	D
PF00730	HhH-GPD	HhH-GPD superfamily base excision DNA repair protein	D
PF00881	Nitroreductase	Nitroreductase family	D
PF00736	EF1_GNE	EF-1 guanine nucleotide exchange domain	D
PF09241	Herp-Cyclin	Herpesviridae viral cyclin	D
PF00734	CBM_1	Fungal cellulose binding domain	D
PF00739	X	Trans-activation protein X	F
PF00738	Polyhedrin	Polyhedrin	F
PF00889	EF_TS	Elongation factor TS	F
PF00888	Cullin	Cullin family	F
PF05547	Peptidase_M6	Immune inhibitor A peptidase M6	D
PF05546	She9_MDM33	She9 / Mdm33 family	F
PF05545	FixQ	Cbb3-type cytochrome oxidase component FixQ	F
PF08503	DapH_N	Tetrahydrodipicolinate succinyltransferase N-terminal	F
PF05543	Peptidase_C47	Staphopain peptidase C47	F
PF05542	DUF760	Protein of unknown function (DUF760)	F
PF08506	Cse1	Cse1	F
PF08507	COPI_assoc	COPI associated protein	F
PF08508	DUF1746	Fungal domain of unknown function (DUF1746)	D
PF08509	Ad_cyc_g-alpha	Adenylate cyclase G-alpha binding domain	D
PF14455	Metal_CEHH	Predicted metal binding domain	F
PF12884	TORC_N	Transducer of regulated CREB activity, N terminus	F
PF05549	Allexi_40kDa	Allexivirus 40kDa protein	F
PF05548	Peptidase_M11	Gametolysin peptidase M11	F
PF04412	DUF521	Protein of unknown function (DUF521)	F
PF01425	Amidase	Amidase	F
PF01426	BAH	BAH domain	D
PF04147	Nop14	Nop14-like family	F
PF04140	ICMT	Isoprenylcysteine carboxyl methyltransferase (ICMT) family	F
PF04417	DUF501	Protein of unknown function (DUF501)	F
PF04142	Nuc_sug_transp	Nucleotide-sugar transporter	F
PF04415	DUF515	Protein of unknown function (DUF515)	F
PF15224	SCRG1	Scrapie-responsive protein 1	F
PF04418	DUF543	Domain of unknown function (DUF543)	D
PF04419	4F5	4F5 protein family	F
PF04148	Erv26	Transmembrane adaptor Erv26	F
PF04149	DUF397	Domain of unknown function (DUF397)	D
PF07881	Fucose_iso_N1	L-fucose isomerase, first N-terminal domain	F
PF17953	Csm4_C	CRISPR Csm4 C-terminal domain	D
PF17952	Cas6_N	Cas6 N-terminal domain	D
PF09633	DUF2023	Protein of unknown function (DUF2023)	D
PF10270	MMgT	Membrane magnesium transporter	F
PF17957	Big_7	Bacterial Ig domain	D
PF09634	DUF2025	Protein of unknown function (DUF2025)	D
PF17955	Cas6b_N	Cas6b N-terminal domain	D
PF10274	ParcG	Parkin co-regulated protein	F
PF09639	YjcQ	YjcQ protein	D
PF09638	Ph1570	Ph1570 protein	D
PF17959	EF-hand_14	EF-hand domain	D
PF17958	EF-hand_13	EF-hand domain	D
PF09243	Rsm22	Mitochondrial small ribosomal subunit Rsm22	F
PF01819	Levi_coat	Levivirus coat protein	D
PF13072	MciZ	Mother cell inhibitor of FtsZ	F
PF00085	Thioredoxin	Thioredoxin	D
PF00084	Sushi	Sushi repeat (SCR repeat)	D
PF00087	Toxin_TOLIP	Snake toxin and toxin-like protein	D
PF00086	Thyroglobulin_1	Thyroglobulin type-1 repeat	D
PF00081	Sod_Fe_N	Iron/manganese superoxide dismutases, alpha-hairpin domain	D
PF00080	Sod_Cu	Copper/zinc superoxide dismutase (SODC)	D
PF00083	Sugar_tr	Sugar (and other) transporter	F
PF00082	Peptidase_S8	Subtilase family	D
PF10938	YfdX	YfdX protein	F
PF11477	PM0188	Sialyltransferase PMO188	F
PF00347	Ribosomal_L6	Ribosomal protein L6	D
PF06409	NPIP	Nuclear pore complex interacting protein (NPIP)	F
PF10666	Phage_TAC_8	Phage tail assembly chaperone protein Gp14 ()A118	F
PF10385	RNA_pol_Rpb2_45	RNA polymerase beta subunit external 1 domain	D
PF14459	Prok-E2_C	Prokaryotic E2 family C	F
PF01796	OB_aCoA_assoc	DUF35 OB-fold domain, acyl-CoA-associated	D
PF11112	PyocinActivator	Pyocin activator protein PrtN	F
PF02198	SAM_PNT	Sterile alpha motif (SAM)/Pointed domain	D
PF10897	DUF2713	Protein of unknown function (DUF2713)	F
PF10896	DUF2714	Protein of unknown function (DUF2714)	F
PF10895	DUF2715	Domain of unknown function (DUF2715)	D
