uniprot	pfam	start	stop	type
994	P34227	PF10417	209	247	Domain
3157	Q04120	PF10417	158	193	Domain
8377	P34760	PF10417	158	193	Domain
9973	P29311	PF00244	11	234	Domain
12995	P34730	PF00244	11	234	Domain
16047	P53839	PF00389	17	335	Domain
23205	P40054	PF00389	61	381	Domain
32002	Q08911	PF00389	28	353	Domain
41665	P40510	PF00389	61	381	Domain
57958	P53100	PF02826	146	343	Domain
58126	Q02961	PF02826	196	363	Domain
60423	P40054	PF02826	164	349	Domain
65617	P40510	PF02826	164	349	Domain
69636	Q08911	PF02826	130	327	Domain
76366	P53839	PF02826	124	303	Domain
96810	P12695	PF00198	248	482	Domain
102875	P19262	PF00198	232	462	Domain
116636	P20967	PF16078	42	82	Family
207953	P47096	PF06052	1	155	Domain
210500	Q12068	PF01073	4	276	Family
212492	P53199	PF01073	8	280	Family
269878	P0CX36	PF16121	212	259	Family
270016	P0CX35	PF16121	212	259	Family
272314	Q3E7B7	PF04419	1	36	Family
273024	P53978	PF17947	336	411	Domain
273143	P16521	PF17947	336	411	Domain
283919	P38172	PF03061	146	221	Domain
318823	P38256	PF13279	72	204	Domain
347320	P40099	PF01812	4	203	Family
397080	P39952	PF02096	128	318	Family
403818	Q12471	PF01591	84	324	Domain
404355	P32604	PF01591	1	224	Domain
404550	Q06137	PF01591	71	291	Domain
405841	P40433	PF01591	171	396	Domain
412862	P53319	PF00393	181	478	Domain
413361	P38720	PF00393	178	475	Domain
593811	Q07844	PF00004	570	700	Domain
601695	P53549	PF00004	218	351	Domain
602625	P33416	PF00004	139	274	Domain
607905	P32839	PF00004	263	388	Domain
609008	P38630	PF00004	349	478	Domain
612064	P32794	PF00004	282	413	Domain
617093	P38629	PF00004	49	169	Domain
617253	P40327	PF00004	219	352	Domain
625896	P18759	PF00004	560	690	Domain
627643	P28737	PF00004	129	257	Domain
637295	P33760	PF00004	768	901	Domain
648611	P33297	PF00004	218	351	Domain
650791	P40340	PF00004	450	585	Domain
652759	P18759	PF00004	277	418	Domain
655267	P39955	PF00004	641	790	Domain
655385	P54784	PF00004	475	621	Domain
655588	P39925	PF00004	324	459	Domain
659270	P40151	PF00004	173	296	Domain
660471	P40340	PF00004	772	895	Domain
665489	P31539	PF00004	208	341	Domain
666349	P52917	PF00004	169	298	Domain
677952	P33299	PF00004	246	379	Domain
681450	P33760	PF00004	479	620	Domain
683957	P40328	PF00004	507	647	Domain
685243	P40341	PF00004	384	518	Domain
690327	P36775	PF00004	628	771	Domain
690451	P40348	PF00004	61	192	Domain
691431	P49956	PF00004	179	308	Domain
692864	Q08965	PF00004	72	144	Domain
696604	P40339	PF00004	45	166	Domain
697666	P25694	PF00004	251	381	Domain
702054	Q07844	PF00004	242	377	Domain
702220	P25694	PF00004	524	657	Domain
702222	P32794	PF00004	553	683	Domain
703215	P32795	PF00004	317	447	Domain
707071	P33298	PF00004	209	342	Domain
707141	P38126	PF00004	310	467	Domain
711977	P24004	PF00004	457	597	Domain
712947	Q01939	PF00004	185	318	Domain
713195	P24004	PF00004	734	863	Domain
721890	P32644	PF13086	749	855	Domain
724082	P30771	PF13086	504	609	Domain
724179	P34243	PF13086	207	435	Domain
725838	P38859	PF13086	1051	1151	Domain
729590	Q00416	PF13086	1334	1627	Domain
731161	P38859	PF13086	1145	1222	Domain
739504	P30771	PF13086	408	518	Domain
740308	P32644	PF13086	648	776	Domain
741952	P34243	PF13087	444	651	Domain
744962	Q00416	PF13087	1634	1832	Domain
746869	P38859	PF13087	1229	1443	Domain
747082	P32644	PF13087	860	1092	Domain
748923	P30771	PF13087	616	813	Domain
791960	Q12055	PF13238	10	131	Domain
810962	P38323	PF07724	131	366	Domain
819706	P33416	PF07724	532	700	Domain
819799	P31539	PF07724	605	769	Domain
852524	P09119	PF13401	97	267	Domain
854162	P50874	PF13401	28	177	Domain
862844	Q12749	PF13476	84	355	Domain
865455	P12753	PF13476	6	255	Domain
884414	P53630	PF13500	13	218	Domain
960209	Q12019	PF07728	799	896	Domain
960824	Q12019	PF07728	1440	1558	Domain
961440	Q12019	PF07728	1078	1214	Domain
963814	Q12019	PF07728	310	445	Domain
964409	Q12019	PF07728	1742	1879	Domain
965595	P43591	PF07728	26	59	Domain
972651	Q12019	PF07728	648	705	Domain
974282	Q12019	PF07728	2165	2276	Domain
