	uniprot	length
0	A0A023PXA5	189
1	A0A023PXB0	110
2	A0A023PXB5	102
3	A0A023PXB9	121
4	A0A023PXC2	115
5	A0A023PXC7	143
6	A0A023PXD3	107
7	A0A023PXD5	136
8	A0A023PXD9	105
9	A0A023PXE5	117
10	A0A023PXE8	106
11	A0A023PXF2	106
12	A0A023PXF5	105
13	A0A023PXF8	147
14	A0A023PXG3	133
15	A0A023PXG7	101
16	A0A023PXH2	111
17	A0A023PXH4	145
18	A0A023PXH5	47
19	A0A023PXH6	127
20	A0A023PXH9	235
21	A0A023PXI0	129
22	A0A023PXI4	105
23	A0A023PXI5	187
24	A0A023PXI8	105
25	A0A023PXJ3	115
26	A0A023PXJ7	106
27	A0A023PXK2	192
28	A0A023PXK7	284
29	A0A023PXL1	197
30	A0A023PXL7	144
31	A0A023PXM2	81
32	A0A023PXM7	112
33	A0A023PXN3	127
34	A0A023PXN9	150
35	A0A023PXP4	132
36	A0A023PXP7	132
37	A0A023PXQ4	394
38	A0A023PXQ9	102
39	A0A023PYC6	104
40	A0A023PYD0	140
41	A0A023PYD3	111
42	A0A023PYD7	172
43	A0A023PYD9	177
44	A0A023PYE4	107
45	A0A023PYE9	183
46	A0A023PYF4	145
47	A0A023PYF7	126
48	A0A023PYG1	162
49	A0A023PYG5	108
50	A0A023PYH0	136
51	A0A023PYH5	124
52	A0A023PYH8	122
53	A0A023PYI2	110
54	A0A023PYI5	133
55	A0A023PYJ0	108
56	A0A023PYJ4	111
57	A0A023PYJ7	116
58	A0A023PYK2	111
59	A0A023PZ94	102
60	A0A023PZ99	116
61	A0A023PZA4	116
62	A0A023PZA9	115
63	A0A023PZB3	126
64	A0A023PZB8	112
65	A0A023PZC3	113
66	A0A023PZC7	188
67	A0A023PZD0	216
68	A0A023PZD5	153
69	A0A023PZE1	111
70	A0A023PZE2	109
71	A0A023PZE4	103
72	A0A023PZE6	104
73	A0A023PZE8	133
74	A0A023PZE9	123
75	A0A023PZF2	135
76	A0A023PZF3	158
77	A0A023PZF5	109
78	A0A023PZF9	107
79	A0A023PZG0	170
80	A0A023PZG4	107
81	A0A023PZG5	101
82	A0A023PZG9	121
83	A0A023PZH1	118
84	A0A023PZH4	101
85	A0A023PZH5	115
86	A0A023PZH9	153
87	A0A023PZI1	117
88	A0A023PZI4	120
89	A0A023PZI9	157
90	A0A023PZJ3	112
91	A0A023PZJ9	123
92	A0A023PZK4	127
93	A0A023PZK9	126
94	A0A023PZL2	124
95	A0A023PZL7	119
96	A0A023PZM3	2436
97	A2P2R3	262
98	A5Z2X5	72
99	D6VPM8	179
100	D6VTK4	431
101	D6W196	494
102	I2HB52	66
103	I2HB70	103
104	O13297	549
105	O13329	566
106	O13511	128
107	O13512	126
108	O13513	116
109	O13514	125
110	O13515	117
111	O13516	197
112	O13517	100
113	O13518	139
114	O13519	122
115	O13520	182
116	O13521	115
117	O13522	166
118	O13523	187
119	O13525	335
120	O13527	1196
121	O13529	151
122	O13530	119
123	O13531	108
124	O13532	107
125	O13533	98
126	O13534	161
127	O13535	1793
128	O13536	103
129	O13537	118
130	O13539	261
131	O13540	129
132	O13541	116
133	O13542	113
134	O13543	109
135	O13544	120
136	O13545	129
137	O13546	115
138	O13547	238
139	O13548	118
140	O13549	108
141	O13550	116
142	O13553	144
143	O13554	104
144	O13555	125
145	O13556	202
146	O13557	183
147	O13558	102
148	O13559	1382
149	O13560	100
150	O13561	117
151	O13562	129
152	O13563	156
153	O13564	114
154	O13565	187
155	O13566	144
156	O13567	102
157	O13568	135
158	O13569	170
159	O13570	187
160	O13571	109
161	O13572	173
162	O13573	101
163	O13574	117
164	O13575	123
165	O13576	127
166	O13577	133
167	O13578	112
168	O13579	124
169	O13582	124
170	O13583	123
171	O13584	106
172	O13585	888
173	O13586	101
174	O13587	100
175	O13588	104
176	O14455	100
177	O14464	93
178	O14467	151
179	O14468	76
180	O42831	157
181	O43137	85
182	O60200	86
183	O74302	440
184	O74700	87
185	O75012	95
186	O94084	285
187	O94085	183
188	O94086	168
189	O94143	102
190	O94742	89
191	P00044	109
192	P00045	113
193	P00127	147
194	P00128	127
195	P00163	385
196	P00175	591
197	P00330	348
198	P00331	348
199	P00358	332
200	P00359	332
201	P00360	332
202	P00401	534
203	P00410	251
204	P00420	269
205	P00424	153
206	P00425	151
207	P00427	148
208	P00431	361
209	P00445	154
210	P00447	233
211	P00498	297
212	P00546	298
213	P00549	500
214	P00560	416
215	P00572	216
216	P00635	467
217	P00724	532
218	P00724-2	512
219	P00729	532
220	P00812	333
221	P00815	799
222	P00817	287
223	P00830	511
224	P00854	259
225	P00856	48
226	P00890	479
227	P00899	507
228	P00912	224
229	P00924	437
230	P00925	437
231	P00927	576
232	P00931	707
233	P00937	484
234	P00942	248
235	P00950	247
236	P00958	751
237	P01094	68
238	P01097	85
239	P01098	86
240	P01119	309
241	P01120	322
242	P01123	206
243	P01149	165
244	P02293	131
245	P02294	131
246	P02309	103
247	P02381	398
248	P02400	110
249	P02406	149
250	P02407	136
251	P02557	457
252	P02829	709
253	P02992	437
254	P02994	458
255	P03069	281
256	P03870	423
257	P03871	373
258	P03872	296
259	P03873	423
260	P03874	630
261	P03875	834
262	P03876	854
263	P03877	415
264	P03878	556
265	P03879	638
266	P03881	472
267	P03882	235
268	P03962	267
269	P03965	1118
270	P04037	155
271	P04039	78
272	P04046	510
273	P04050	1733
274	P04051	1460
275	P04076	463
276	P04147	577
277	P04161	214
278	P04173	364
279	P04385	528
280	P04386	881
281	P04387	435
282	P04397	699
283	P04449	155
284	P04456	142
285	P04650	51
286	P04710	309
287	P04786	769
288	P04801	734
289	P04802	557
290	P04803	379
291	P04806	485
292	P04807	486
293	P04817	590
294	P04819	755
295	P04819-2	732
296	P04821	1589
297	P04840	283
298	P04911	132
299	P04912	132
300	P05030	918
301	P05066	565
302	P05085	880
303	P05150	338
304	P05316	633
305	P05317	312
306	P05318	106
307	P05319	106
308	P05373	342
309	P05374	869
310	P05375	206
311	P05453	685
312	P05626	244
313	P05694	767
314	P05737	244
315	P05738	191
316	P05739	176
317	P05740	184
318	P05743	127
319	P05744	107
320	P05745	100
321	P05747	59
322	P05748	204
323	P05749	121
324	P05750	240
325	P05755	195
326	P05756	151
327	P05759	152
328	P05986	398
329	P06100	191
330	P06101	506
331	P06102	836
332	P06103	763
333	P06104	172
334	P06105	1222
335	P06106	444
336	P06115	562
337	P06168	395
338	P06169	563
339	P06174	275
340	P06182	269
341	P06197	220
342	P06208	619
343	P06208-2	589
344	P06242	306
345	P06243	507
346	P06244	397
347	P06245	380
348	P06367	137
349	P06633	220
350	P06634	604
351	P06700	562
352	P06701	978
353	P06704	161
354	P06738	902
355	P06773	312
356	P06774	265
357	P06775	603
358	P06776	526
359	P06777	1100
360	P06778	471
361	P06778-2	467
362	P06778-3	465
363	P06779	565
364	P06780	209
365	P06781	192
366	P06782	633
367	P06783	470
368	P06784	515
369	P06785	304
370	P06786	1428
371	P06787	147
372	P06838	210
373	P06839	778
374	P06843	333
375	P06844	337
376	P07143	309
377	P07149	2051
378	P07170	222
379	P07172	385
380	P07213	617
381	P07236	462
382	P07244	802
383	P07245	946
384	P07246	375
385	P07248	1323
386	P07249	177
387	P07250	355
388	P07251	545
389	P07252	654
390	P07253	162
391	P07255	59
392	P07256	457
393	P07257	368
394	P07258	411
395	P07259	2214
396	P07260	213
397	P07261	785
398	P07262	454
399	P07263	546
400	P07263-2	526
401	P07264	779
402	P07266	363
403	P07267	405
404	P07269	559
405	P07270	312
406	P07271	859
407	P07271-2	820
408	P07272	904
409	P07273	309
410	P07274	126
411	P07275	575
412	P07276	1031
413	P07277	443
414	P07278	416
415	P07280	144
416	P07281	144
417	P07283	254
418	P07284	462
419	P07285	380
420	P07286	448
421	P07342	687
422	P07347	238
423	P07390	489
424	P07560	215
425	P07702	1392
426	P07703	335
427	P07806	1104
428	P07806-2	1058
429	P07807	211
430	P07834	779
431	P07866	1435
432	P07884	428
433	P07884-2	417
434	P07991	424
435	P08004	1131
436	P08018	668
437	P08019	549
438	P08067	215
439	P08153	709
440	P08417	488
441	P08425	469
442	P08431	366
443	P08432	466
444	P08456	276
445	P08458	490
446	P08459	502
447	P08465	486
448	P08466	329
449	P08468	800
450	P08518	1224
451	P08521	25
452	P08524	352
453	P08525	94
454	P08536	511
455	P08539	472
456	P08566	1588
457	P08593	268
458	P08638	886
459	P08640	1367
460	P08678	2026
461	P08679	460
462	P08964	1928
463	P09007	221
464	P09032	578
465	P09064	285
466	P09119	513
467	P09201	348
468	P09232	635
469	P09368	476
470	P09435	649
471	P09436	1072
472	P09440	975
473	P09457	212
474	P09547	1314
475	P09620	729
476	P09624	499
477	P09733	447
478	P09734	445
479	P09798	840
480	P09880	827
481	P09932	586
482	P09937	338
483	P09938	399
484	P09950	548
485	P09959	803
486	P0C074	85
487	P0C0T4	108
488	P0C0V2	99
489	P0C0V8	87
490	P0C0W1	130
491	P0C0W9	174
492	P0C0X0	67
493	P0C155	581
494	P0C1V3	61
495	P0C1Z1	29
496	P0C261	129
497	P0C268	59
498	P0C269	39
499	P0C270	34
500	P0C271	40
501	P0C272	63
502	P0C289	58
503	P0C2H6	136
504	P0C2H7	136
505	P0C2H8	113
506	P0C2H9	113
507	P0C2I2	1755
508	P0C2I3	1755
509	P0C2I4	478
510	P0C2I5	1755
511	P0C2I6	1755
512	P0C2I7	1755
513	P0C2I8	440
514	P0C2I9	1755
515	P0C2J0	1756
516	P0C2J1	1755
517	P0C2J2	438
518	P0C2J3	1770
519	P0C2J4	438
520	P0C2J5	1598
521	P0C2J6	438
522	P0C2J7	1802
523	P0C5B8	160
524	P0C5E0	132
525	P0C5E1	128
526	P0C5K9	27
527	P0C5L0	52
528	P0C5L1	78
529	P0C5L2	88
530	P0C5L3	47
531	P0C5L4	52
532	P0C5L5	24
533	P0C5L6	82
534	P0C5L7	38
535	P0C5L8	45
536	P0C5L9	24
537	P0C5M0	45
538	P0C5M1	34
539	P0C5M2	81
540	P0C5M3	85
541	P0C5M4	75
542	P0C5M5	37
543	P0C5M6	65
544	P0C5M7	63
545	P0C5M8	29
546	P0C5M9	85
547	P0C5N0	62
548	P0C5N1	53
549	P0C5N2	42
550	P0C5N3	154
551	P0C5N4	26
552	P0C5N5	34
553	P0C5N6	59
554	P0C5N7	58
555	P0C5N8	60
556	P0C5N9	73
557	P0C5P0	93
558	P0C5P1	38
559	P0C5P2	29
560	P0C5P3	30
561	P0C5P4	50
562	P0C5P5	77
563	P0C5P6	37
564	P0C5P7	76
565	P0C5P8	28
566	P0C5P9	54
567	P0C5Q0	46
568	P0C5Q1	40
569	P0C5Q2	26
570	P0C5Q3	49
571	P0C5Q4	74
572	P0C5Q5	64
573	P0C5Q6	74
574	P0C5Q7	72
575	P0C5Q8	48
576	P0C5Q9	33
577	P0C5R0	36
578	P0C5R1	69
579	P0C5R2	82
580	P0C5R3	77
581	P0C5R4	46
582	P0C5R5	86
583	P0C5R6	56
584	P0C5R7	72
585	P0C5R8	61
586	P0C5R9	85
587	P0C5S0	95
588	P0C5S1	26
589	P0CD90	149
590	P0CD91	305
591	P0CD97	72
592	P0CD98	152
593	P0CD99	609
594	P0CE00	602
