	uniprot	pfam	start	stop	type	Name	ID
994	P34227	PF10417	209	247	Domain	C-terminal domain of 1-Cys peroxiredoxin	1-cysPrx_C
3157	Q04120	PF10417	158	193	Domain	C-terminal domain of 1-Cys peroxiredoxin	1-cysPrx_C
8377	P34760	PF10417	158	193	Domain	C-terminal domain of 1-Cys peroxiredoxin	1-cysPrx_C
9973	P29311	PF00244	11	234	Domain	14-3-3 protein	14-3-3
12995	P34730	PF00244	11	234	Domain	14-3-3 protein	14-3-3
16047	P53839	PF00389	17	335	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	2-Hacid_dh
23205	P40054	PF00389	61	381	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	2-Hacid_dh
32002	Q08911	PF00389	28	353	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	2-Hacid_dh
41665	P40510	PF00389	61	381	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	2-Hacid_dh
57958	P53100	PF02826	146	343	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C
58126	Q02961	PF02826	196	363	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C
60423	P40054	PF02826	164	349	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C
65617	P40510	PF02826	164	349	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C
69636	Q08911	PF02826	130	327	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C
76366	P53839	PF02826	124	303	Domain	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C
96810	P12695	PF00198	248	482	Domain	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	2-oxoacid_dh
102875	P19262	PF00198	232	462	Domain	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	2-oxoacid_dh
116636	P20967	PF16078	42	82	Family	2-oxoglutarate dehydrogenase N-terminus	2-oxogl_dehyd_N
207953	P47096	PF06052	1	155	Domain	3-hydroxyanthranilic acid dioxygenase	3-HAO
210500	Q12068	PF01073	4	276	Family	3-beta hydroxysteroid dehydrogenase/isomerase family	3Beta_HSD
